eval_id,recipe_name,cleaned_ingredients
16,Potoler Dolma Recipe (Bengali Style Stuffed Pointed Gourd Curry),"tomato,salt,cashew nuts soak water grind,ginger,mustard oil,pistachios,paneer,dried figs,red chilli powder,raisins,sugar,coriander (dhania) leaves,badam (almond),pointed gourd (parval) on the side,cumin seeds (jeera),onion,dates,turmeric powder,green chillies,garam masala powder"
17,Sindhi Style Chicken Curry Recipe Using Preethi Electric Pressure Cooker,"tomato,black cardamom (badi elaichi),green chillies,ginger,salt,cardamom (elaichi) podsseeds,bay leaf (tej patta),coriander (dhania) leaves,cinnamon stick,red chilli powder,cloves garlic,curd,onion,chicken,coriander (dhania) powder,coriander powder,turmeric powder,cloves (laung),garam masala powder,sunflower oil"
18,Karwar Style Dali Thoy Recipe - Toor dal Curry,"salt,arhar dal (split toor dal),ghee,mustard seeds,asafoetida (hing),coriander (dhania) leaves,curry leaves,dry red chillies,turmeric powder"
19,Sri Lankan Chicken Curry Recipe - Kukul Mas Curry,"salt,ginger,chicken curry,mustard seeds,cardamom (elaichi) podsseeds,black pepper corns,fennel seeds (saunf),cloves garlic,curry leaves,coriander (dhania) seeds,dry red chillies,cumin seeds (jeera),cinnamon stick (dalchini),onion,coconut milk,turmeric powder,cloves (laung),sunflower oil"
20,Gujarati Batata Pulao Recipe - Sweet And Spicy Pulao With Lentils And Potatoes,"basmati rice,yellow moong dal (split),green chillies,ginger,salt,coconut,bay leaf (tej patta),cardamom (elaichi) podsseeds,ghee,green peas (matar),cloves garlic,sugar,onion,cinnamon stick (dalchini),cumin seeds (jeera),mint leaves (pudina),potato (aloo),turmeric powder,cloves (laung),sunflower oil"
21,Gluten-Free Koloocheh Recipe | Persian Date Nut Filled Cookies,"salt,baking powder,eggs,rajgira flour (amaranth flour),walnuts almonds,orange juice,vanilla,cinnamon powder (dalchini) ( you like),sugar organic),buckwheat flour (kuttu ka atta),dates,butter"
22,Cantonese Chicken With Mushrooms Recipe,"fish sauce,salt,boneless chicken,bok choy,rice wine vinegar,corn flour,spring onion greens,sesame (gingelly) oil,cloves garlic,shiitake mushrooms (or oyster mushrooms),spring onion (bulb greens),oyster sauce,light soy sauce,brown sugar (demerara sugar),black pepper powder,red chilli sauce,sesame seeds (til seeds)"
23,Vegetarian Thukpa Recipe,"tomato,salt,cumin powder (jeera),wheat flour,mustard oil,spring onion (bulb greens)(or regular onion),cloves garlicor,black peppercorns,coriander (dhania) leaves,lemon,eggs,mooli mullangi (radish),spinach leaves (palak),garam masala powder"
24,Irish Cream Bundt Cake Recipe,"baking powder,baileys irish,instant coffee powder,milk,vanilla,eggs,caster sugar,flour (maida),icing sugar,butter"
25,Gawarfli Dry Vegetable Recipe,"salt,cumin powder (jeera),red chilli powder,garlic,gawar phali (kothavarangai cluster beans),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil"
26,Vegetable Coconut Milk Soup With Vermicelli Noodles Recipe,"coconut sugar,salt,vegetable stock,red chillies,tofu firm,lemongrass stalk,ginger,rice vermicelli noodles (thin),button mushrooms,soy sauce,carrot,coconut milk canned,lemon,cloves garlic,coriander (dhania) leaves,green zucchini,cherry tomato"
27, Mixed Vegetable Samosa Recipe,"turmeric powder,salt,rye,ginger,potatoes boil,maida ( flour),celery,red chilli powder,curry leaves,onion,lemon,oil,coriander powder,coriander seeds,green chillies,green peas,garam masala powder"
28,High Protein Chickpea Potato Hash Brown Recipe,"salt,cumin powder (jeera),eggs,kabuli chana (white chickpeas),lemon,black pepper powder,potato (aloo),wheat bread crumbs,butter"
29,Perfect Christmas Roast Potatoes Recipe,"corn flourflour,salt,onion powder,red chilli powder,garlic powder,potato (aloo),butter,sunflower oil"
30,Ice Tea Sangria Recipe,"ice cubes,orange rind on,tea monk oo tea,apple,orange juice plus,grape juice plus,star anise"
31,Savory Oatmeal Bowl with Sautéed Spinach and Corn Recipe,"salt,spinach,cloves garlic,water,red chilli flakes,thyme leaves,sweet corn,rolled oats instant oats"
32,Pesto Pizza With Mushroom And Bell Pepper Recipe,"salt,red bell pepper (capsicum),parmesan cheese,cloves garlic,basil leaves,black peppercorns,virgin olive oil,cheddar cheese,wheat pizza dough recipe,button mushrooms,walnuts"
33,Malaysian Nasi Lemak Rice Recipe,"salt,ginger,rice,water,coconut milk"
34,Kunafa With Mango Cottage Cheese Cream Recipe,"heavy whipping cream,mango pulp (puree),pistachios,paneer,thandai masala,saffron strands,rose water,water,dried rose,sugar,lemon,icing sugar,butter,kataifi dough ready"
35,Greek Style Briami Recipe (Simple Vegetable Stew Recipe),"tomato,salt,brinjal (baingan eggsplant),cauliflower (gobi),cloves garlic,carrot,stalks celery,parsley leaves,virgin olive oil,onion,white broad beans over night,black pepper powder,green zucchini,potato (aloo)"
36,Nepalese Mutton Curry Recipe,"tomato,salt,garam masala powder,bay leaves (tej patta),cardamom (elaichi) podsseeds,red chilli powder,ginger garlic paste,onion,mutton,cinnamon stick (dalchini),methi seeds (fenugreek seeds),turmeric powder,cloves (laung),meat masala,sunflower oil"
37,Sweet & Spicy Vegetable Hong Kong Style Recipe,"salt,green beans (french beans),red bell pepper (capsicum),ginger,vegetable stock,pepper,cloves garlic,carrot,soy sauce,chilli vinegar,sugar,dry red chillies,green bell pepper (capsicum),tofu,red chilli sauce,corn flour mixed water,sunflower oil"
38,Penne Pasta Recipe In Creamy Cauliflower Sauce,"salt,sunflower oil,green chilli,penne pasta,cauliflower (gobi),milk,cloves garlic,black pepper powder,green zucchini,walnuts,dried oregano"
39, Assamese Bilahir Tok Recipe,"tomato,turmeric powder,salt,mustard oil,red chilli powder,dry red chilli,sugar,leaf,panchon masala"
40,Bihari Style Kadhi Bari Recipe,"salt,enos fruit salt,kashmiri red chilli powder,bay leaf (tej patta),ghee,ajwain (carom seeds),red chilli powder,cloves garlic,gram flour (besan),curry leaves,dry red chilli,coriander (dhania) seeds,cumin seeds (jeera),coriander powder,turmeric powder,curd sour"
41,Chocolate Salted Caramel Tart Recipe,"heavy whipping cream,water ice cold,eggs,water,salted butter,sugar,salt coarse salt crystals,dark chocolate,flour (maida),butter"
42,Greek Style Gigantes Plaki Recipe-Oven Baked Broad Beans with Vegetables,"tomato,cinnamon powder (dalchini),bay leaf (tej patta),white broad beans,cloves garlic,carrot,parsley leaves,sugar,onion,celery stalks,yellow zucchini,dried oregano"
43,Parsi Mawa Cake Recipe (Tea Time Cake Flavored with Cardamom & Pistachios),"baking powder,salt,khoya (mawa),pistachios,milk,sugar,cardamom powder (elaichi),eggs,almonds (badam),flour (maida),butter"
44, Carrot Chutney (Recipe In Hindi),"salt,good,carrot,mustard,curry leaves,dry red chillies,oil"
45,Moroccan Eggplant And Garbanzo Stew Recipe,"salt,vegetable stock,cumin powder (jeera),white pepper powder,paprika powder,brinjal (baingan eggsplant),virgin olive oil,onion,tomato choppes,white garbanzo,cloves (laung),cinnamon powder (dalchini)"
46,Mangalorean Style Sajjige Rotti / Rulavachi Bhakri Recipe (Semolina Pancake Recipe),"salt,wheat flour,ginger,hung curd (greek yogurt),coconut,jaggery,water,curry leaves,coriander (dhania) leaves,onion,sooji (semolina rava) (fine),ghee,oil,green chillies"
47,Kumaon Style Thechwani Recipe-Mooli Aloo Sabzi,"tomato,salt,cumin powder (jeera),ginger,green chilli,cardamom (elaichi) podsseeds,red chilli powder,mooli mullangi (radish) skin,onion,dry red chillies,cumin seeds (jeera),methi seeds (fenugreek seeds),potato (aloo) skin pound,garlic,coriander powder,turmeric powder"
48,Pahari Style Phanu Recipe - Delicious Mixed Dal,"tomato,ginger,arhar dal (split toor dal),green chilli,asafoetida (hing),mustard oil tadka,cloves garlic,white urad dal (split),cumin seeds (jeera),turmeric powder"
49,Malabar Style Dates Coriander Chutney Recipe,"salt,ginger,coriander (dhania) leaves,cloves garlic,dry red chilli,mint leaves (pudina),dates,tamarind"
50,Karantaka Style Seke Undlaka/ Undlige Recipe (Mini steamed sweet dumplings Recipe),"salt,cardamom (elaichi) podsseeds,coconut,jaggery,rice flour"
